"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TFF3",0,4.77563345025101,0.845,0.121,0
"AGR2",0,4.11446492990056,0.812,0.095,0
"BCAM",0,3.20615447248096,0.779,0.153,0
"SELM",0,3.06818531884802,0.755,0.136,0
"MLPH",0,3.28894918270248,0.743,0.126,0
"TFF1",0,8.10988825987754,0.636,0.019,0
"AGR3",0,7.42136072754592,0.588,0.01,0
"ANKRD30A",0,6.82660181538726,0.569,0.01,0
"CA12",0,4.5120880408217,0.579,0.036,0
"C8orf4",0,5.55047634123372,0.526,0.031,0
"FBP1",0,5.00406970901269,0.512,0.024,0
"SERPINA1",0,6.38486812994082,0.526,0.041,0
"PLAT",0,6.65830913047004,0.495,0.01,0
"PRSS23",0,4.02829471119062,0.545,0.063,0
"RND1",0,4.40218653913634,0.517,0.052,0
"AFF3",0,6.84619391473248,0.443,0.005,0
"PGR",0,7.44680576517974,0.431,0.005,0
"ESR1",0,6.80335560314108,0.41,0.007,0
"ERBB4",0,3.91331901774418,0.433,0.036,0
"TBC1D9",0,3.9574030830919,0.433,0.041,0
"PDK4",0,3.91894410120109,0.417,0.034,0
"CAPN8",0,3.40239136514195,0.39,0.03,0
"DCDC2",0,8.09033729975684,0.364,0.004,0
"PIP",0,5.8805172540652,0.383,0.025,0
"SCUBE2",0,5.60372103031544,0.371,0.017,0
"SLC7A2",0,5.06198006489927,0.362,0.012,0
"KIF12",0,5.32896309079686,0.357,0.015,0
"RNASE4",0,4.10258596723783,0.36,0.027,0
"PI15",0,6.04356684200328,0.343,0.015,0
"INPP4B",0,4.46479667780126,0.333,0.012,0
"NTN4",0,4.28666687287641,0.34,0.023,0
"TMEM2",0,4.3100292369938,0.336,0.024,0
"PHYHD1",0,5.19775330910968,0.321,0.011,0
"SCGB3A1",0,4.69298143001442,0.321,0.016,0
"MYBPC1",0,5.39566475165383,0.312,0.011,0
"C16orf89",0,4.80317502942189,0.295,0.014,0
"VSIG2",0,5.53998643163617,0.276,0.009,0
"GDF15",0,6.36274896678422,0.269,0.013,0
"SERPINA3.1",0,7.13972210662133,0.255,0.004,0
"SOCS2",0,5.21738207016548,0.26,0.011,0
"DNALI1",0,6.47701110163648,0.25,0.003,0
"CITED1",0,8.47687913449845,0.252,0.005,0
"LRP2",0,6.14833568034046,0.25,0.005,0
"SERPINA5",0,6.56821550175091,0.24,0.003,0
"CCDC170",0,7.18465636512922,0.221,0.002,0
"KCNC2",0,10.9826359490885,0.212,0,0
"TGM2",0,4.66748960181909,0.219,0.009,0
"NEK10",0,5.62155051678644,0.21,0.005,0
"ZBTB16",0,4.95682403581852,0.212,0.007,0
"DIO2",0,5.14939899084385,0.205,0.008,0
"GSTM1",0,6.69140670110418,0.188,0.002,0
"UGT2B15",0,9.323564913005,0.183,0,0
"PDZK1",0,8.18163783666357,0.183,0.001,0
"LINC00993",0,6.89837022824246,0.162,0.001,0
"RP11-53O19.1",0,6.71702178533663,0.16,0.002,0
"ZNF385B",0,7.10876793754374,0.152,0.001,0
"NOVA1",0,5.9272183169899,0.14,0.002,0
"CHAD",0,5.95699572289178,0.14,0.003,0
"C1orf64",0,7.50292516761301,0.136,0.001,0
"TMEM26",0,8.48072046329612,0.133,0,0
"HPX",0,6.24059095263433,0.129,0.002,0
"HEPACAM2",0,6.07063150399697,0.114,0.002,0
"CYP4F22",0,6.46316369512953,0.11,0.001,0
"MUC6",0,5.91506669902281,0.102,0.001,0
"ARHGAP40",0,6.32298441278884,0.093,0.001,0
"ALB",0,5.24836881316415,0.086,0.001,0
"ADRA2A",0,7.2614955306459,0.086,0.001,0
"ZG16B",2.7646085563526e-306,2.1581349934535,0.748,0.124,1.18175957349848e-301
"IL6ST",6.01574182513846e-301,4.15452439086633,0.624,0.098,2.57148900057368e-296
"RP11-115D19.1",3.11710726688161e-296,8.31237021054653,0.06,0,1.33243867230121e-291
"AK5",8.63042310279696e-292,4.21634362974562,0.288,0.019,3.68916065952159e-287
"GREB1",8.41539956294974e-290,4.64026822690074,0.229,0.012,3.5972466971785e-285
"SLC40A1",1.12315236765083e-286,3.96074475201553,0.574,0.084,4.80102711076026e-282
"RP11-597D13.9",4.58088300268282e-277,6.0832933715512,0.095,0.002,1.9581442483268e-272
"ANKRD30B",7.38720774973223e-274,5.8226962323444,0.098,0.002,3.15773582470054e-269
"TFPI",4.59659896532116e-272,3.76928606644372,0.26,0.017,1.96486219371618e-267
"CLSTN2",7.98435339662151e-266,5.41869603747752,0.114,0.003,3.41299170291983e-261
"TAT",3.9350901371453e-264,7.73833774105265,0.083,0.001,1.68209363002413e-259
"ABCC8",1.5725190551049e-262,5.65612949337725,0.1,0.002,6.72188995295141e-258
"PVRL2",5.85766853476482e-262,3.14328454588871,0.669,0.124,2.50391899187057e-257
"PHGR1",5.24337729344104e-254,6.22589833733151,0.119,0.003,2.24133405785431e-249
"SPDEF",1.03325751348861e-251,2.31919584871611,0.75,0.145,4.41676256715841e-247
"AR",1.97970156476879e-243,2.30379103952198,0.648,0.11,8.46243230876069e-239
"SYTL2",5.53715567246819e-243,3.51251378889222,0.298,0.025,2.36691256375325e-238
"BPIFB2",2.10829332215637e-241,5.52179710892303,0.086,0.001,9.01211063488963e-237
"AZGP1",4.17670808747366e-237,3.83891276303529,0.936,0.387,1.78537563907149e-232
"SERPINA3",1.0993469380305e-236,4.8440330003584,0.19,0.01,4.69926842130516e-232
"AMBP",1.28254690287644e-230,6.05343603175939,0.076,0.001,5.48237499103563e-226
"DACH1",9.98582376549299e-230,5.22401248049846,0.145,0.006,4.26854022679763e-225
"CLEC3A",2.48299418602313e-227,5.26635372667568,0.131,0.005,1.06138069475745e-222
"CCDC74A",2.65635942848755e-227,4.53311683395034,0.369,0.042,1.13548740130129e-222
"FRMPD2",3.92425297610424e-225,6.18905891101955,0.064,0.001,1.67746117716552e-220
"TMEM150C",1.90896040485415e-224,4.48458559041516,0.183,0.01,8.16004214658957e-220
"XBP1",9.8197421094289e-221,3.43248886095192,0.988,0.685,4.19754696209648e-216
"BATF",1.88414094222414e-219,3.82319898802107,0.574,0.107,8.05394887163131e-215
"SELK",2.62136075427056e-218,2.78663824328024,0.679,0.146,1.12052686802049e-213
"TNFSF11",3.06566029614989e-218,6.28873971193427,0.062,0.001,1.31044715019223e-213
"IRS1",3.33819714790804e-214,4.37550951628251,0.195,0.012,1.42694575284477e-209
"CTA-392E5.1",2.7994525617576e-212,8.77505813942514,0.045,0,1.1966539920489e-207
"FAM198B",1.61877510023919e-209,4.77661041040812,0.119,0.004,6.91961604348245e-205
"FOXA1",9.81917579316906e-209,2.67090953547227,0.46,0.066,4.19730488454805e-204
"TMC5",2.19900428194243e-206,1.78597124621759,0.619,0.109,9.39986370359113e-202
"LPAR6",1.35887660803088e-205,3.685368652088,0.193,0.012,5.8086539486888e-201
"SLC39A6",5.23233545394336e-203,3.36412228737643,0.855,0.321,2.23661411314263e-198
"AGTR1",3.3479205040597e-202,5.01930144339397,0.088,0.002,1.43110209866536e-197
"ACADSB",1.14721146293557e-200,3.3819907237386,0.376,0.048,4.90387011946439e-196
"SEP15",1.53677685853702e-198,2.27360463124756,0.679,0.153,6.56910635950234e-194
"NXNL2",2.10015031219678e-198,5.79081668675898,0.1,0.003,8.97730252451636e-194
"MISP",2.5473838619556e-196,3.67582662153277,0.167,0.009,1.08890470563154e-191
"SLC7A8",2.83176627560899e-196,3.54854544289718,0.229,0.018,1.21046681217182e-191
"AC090498.1",4.6318809203245e-188,2.29381169325437,0.707,0.171,1.97994381820191e-183
"CDC14A",3.83580401755142e-187,3.92993672590273,0.226,0.019,1.63965278534253e-182
"THSD4",1.46748739215422e-184,3.0788985924101,0.36,0.047,6.27292160650242e-180
"LINC00160",6.25985251955742e-184,6.00281653899782,0.062,0.001,2.67583655801001e-179
"TMPRSS11E",2.86866622155183e-181,6.451591443209,0.057,0.001,1.22624006306455e-176
"ELOVL5",3.06944072445997e-181,2.7323467443885,0.633,0.15,1.31206313207766e-176
"HMGCS2",3.40213713307691e-181,4.81496882972418,0.126,0.006,1.45427753890505e-176
"SERPINA4",5.96516895301022e-179,9.63753439873918,0.031,0,2.54987112065375e-174
"ITIH2",6.01818556616892e-179,10.0916880846236,0.031,0,2.57253360211457e-174
"CFB",3.29382041835554e-178,3.40207610653648,0.321,0.039,1.40797647603026e-173
"REEP6",2.95988721843694e-177,2.00018162537012,0.555,0.103,1.26523339039305e-172
"KCNE4",5.93946081970971e-177,6.28578223052145,0.069,0.001,2.53888192199311e-172
"ATP1A4",8.73757072839605e-177,6.14237861023155,0.04,0,3.73496198356017e-172
"IGFBP4",2.15202406244242e-176,3.95658652751081,0.552,0.122,9.19904205731638e-172
"RARRES3",1.93536430581726e-175,2.68556164316062,0.721,0.204,8.27290826164644e-171
"AC008268.1",2.11572886380755e-174,6.08185709042216,0.064,0.001,9.04389460123175e-170
"SEPW1",2.92556613734555e-173,1.81793651982071,0.8,0.221,1.25056250106973e-168
"TTC6",3.86001175052247e-173,3.8992406886309,0.183,0.013,1.65000062287834e-168
"ERO1B",2.15535580597313e-172,3.40182168831943,0.24,0.023,9.21328392821273e-168
"ATP5G2",4.35614452525785e-172,1.78119019542784,0.838,0.254,1.86207753876672e-167
"IL20RA",1.36189644221235e-171,2.8211125992623,0.443,0.074,5.82156253188091e-167
"MYEOV2",1.58371282149545e-171,2.15620192177161,0.719,0.19,6.76973882676447e-167
